State	Gen	URL	Correct	Total	year
NewEngland	M	https://www.youtube.com/watch?v=p7MgHBBkCGM	26	28	2012
NewEngland	F	https://www.youtube.com/watch?v=5VVgx1WZm6I	16	30	2012
NewEngland	F	https://www.youtube.com/watch?v=5Wcm9pG-ckw	22	30	2016
NewEngland	M	https://www.youtube.com/watch?v=nhZN4-ue3m4	17	27	2015
Georgia	M	https://www.youtube.com/watch?v=j0Jp0yfUNPo	13	29	2012
Georgia	M	https://www.youtube.com/watch?v=HDlmJlhhIBM	22	31	2013
Georgia	F	https://www.youtube.com/watch?v=neKnBSKaHTY	12	32	2012
Georgia	F	https://www.youtube.com/watch?v=fGxsH6SgKYk	20	28	2014
California	F	https://www.youtube.com/watch?v=NsJqya8XLl4	30	43	2011
California	M	https://www.youtube.com/watch?v=YQR7M5oTPNg	22	28	2011
California	F	https://www.youtube.com/watch?v=PtSoXSRS8UU	19	31	2013
California	M	https://www.youtube.com/watch?v=VNsvkysVFas	21	30	2013
Scotland	M	https://www.youtube.com/watch?v=s_5gKgIb2PY	8	27	2012
Scotland	F	https://www.youtube.com/watch?v=JatocJtUQRM	12	30	2012
Scotland	M	https://www.youtube.com/watch?v=QyOZTqTIF6s	16	31	2015
Scotland	F	https://www.youtube.com/watch?v=r9hluC75MX0	17	31	2013
NewZealand	F	https://www.youtube.com/watch?v=BoSJk9K0ePc	11	28	2013
NewZealand	M	https://www.youtube.com/watch?v=4yTGJ2vOqnA	29	31	2012
NewZealand	F	https://www.youtube.com/watch?v=ygB-FBd-zsk	9	31	2014
NewZealand	M	https://www.youtube.com/watch?v=jsZDWmeR-Kg	21	28	2013
NewEngland	M	https://www.youtube.com/watch?v=G2tQaunibnU	18	29	2011
NewEngland	F	https://www.youtube.com/watch?v=gCwvjjkdCpk	9	28	2012
Georgia	M	https://www.youtube.com/watch?v=oKIIRLbRhwY	15	27	2015
Georgia	F	https://www.youtube.com/watch?v=Of7BkQgJ7jw	21	28	2013
California	M	https://www.youtube.com/watch?v=5wgm-EZqGAA	14	32	2013
California	F	https://www.youtube.com/watch?v=mWgyIbIjVnc	12	30	2013
Scotland	M	https://www.youtube.com/watch?v=W_Jskhofo5Q	15	31	2012
Scotland	F	https://www.youtube.com/watch?v=eKBHiAvxArw	6	31	2012
NewZealand	M	https://www.youtube.com/watch?v=3rMrdzpfrHk	19	31	2016	
NewZealand	F	https://www.youtube.com/watch?v=t-Rup_fd-1w	24	43	2011
NewEngland	M	https://www.youtube.com/watch?v=5GqGw6eA_TI	16	31	2016
NewEngland	F	https://www.youtube.com/watch?v=5VVgx1WZm6I	14	28	2012
Georgia	M	https://www.youtube.com/watch?v=9HnWf96h9Cg	16	28	2012
Georgia	F	https://www.youtube.com/watch?v=9blh3pUN4G8	12	31	2012
California	M	https://www.youtube.com/watch?v=utyLAb4j5As	15	27	2015
California	F	https://www.youtube.com/watch?v=kwQU3vDmgYQ	23	38	2012
Scotland	M	https://www.youtube.com/watch?v=3X0yXlWdF1M	31	55	2015
Scotland	F	https://www.youtube.com/watch?v=t-JmhI9fb2U	11	35	2016
NewZealand	M	https://www.youtube.com/watch?v=TWy41cJY3FI	24	33	2013
NewZealand	F	https://www.youtube.com/watch?v=xKZxB711t-c	8	28	2012
NewZealand	F	https://www.youtube.com/watch?v=_oX02QmYfYU	12	28	2014
NewZealand	M	https://www.youtube.com/watch?v=kfWwGMHAmd0	39	53	2012
Scotland	M	https://www.youtube.com/watch?v=extq6S6WZQU	18 	37	2013
Scotland	F	https://www.youtube.com/watch?v=MfO8F6Uz_qM	16	28	2011
California	M	https://www.youtube.com/watch?v=WqKQPv79UJI	18	30	2014
California	F	https://www.youtube.com/watch?v=62D9lDWGPl0	23	33	2015
Georgia	M	https://www.youtube.com/watch?v=MBwH2Uqn-6Q	9	28	2012	
Georgia	F	https://www.youtube.com/watch?v=3yuPxbs79uI	11	23	2013
NewEngland	M	https://www.youtube.com/watch?v=xEyU1mvEQtE	19	27	2012
NewEngland	F	https://www.youtube.com/watch?v=US4V4OZXK3M	17	31	2013
NewEngland	M	https://www.youtube.com/watch?v=sEFC9IG6pyc	17	28	2011
NewEngland	F	https://www.youtube.com/watch?v=PeI8HaAONqk	4	27	2012
NewEngland	M	https://www.youtube.com/watch?v=XLiBvyERp4Y	18	28	2012
NewEngland	M	https://www.youtube.com/watch?v=id2zwVSUXvQ	26	28	2012
NewEngland	F	https://www.youtube.com/watch?v=vF9-PMMGxzA	7	28	2012
NewEngland	F	https://www.youtube.com/watch?v=bHXZd7wn0hE	24	45	2011
Georgia	M	https://www.youtube.com/watch?v=vk-7CMpT38E	16	28	2015
Georgia	F	https://www.youtube.com/watch?v=vk-7CMpT38E	12	28	2015
Georgia	M	https://www.youtube.com/watch?v=lvfRhHXL2u8	13	28	2012
Georgia	M	https://www.youtube.com/watch?v=83ECQRvu-j0	24	29	2011
Georgia	F	https://www.youtube.com/watch?v=Bws26R40kZ4	8	28	2011
Georgia	F	https://www.youtube.com/watch?v=9V2obSQc9kk	18	28	2012
California	M	https://www.youtube.com/watch?v=N4UwEOKuiRo	18	28	2011
California	M	https://www.youtube.com/watch?v=eTalf-BeTM8	24	28	2011
California	M	https://www.youtube.com/watch?v=4slOxqd532s	24	28	2011
California	F	https://www.youtube.com/watch?v=fIUCdo12X5w	21	30	2013
California	F	https://www.youtube.com/watch?v=wnqo4qoYySo	18	29	2011
California	F	https://www.youtube.com/watch?v=otg1nTM0_H8	16	43	2011
Scotland	M	https://www.youtube.com/watch?v=3KYfWKHS9xw	11	28	2011
Scotland	M	https://www.youtube.com/watch?v=6txxRUnWG-0	7	39	2012
Scotland	M	https://www.youtube.com/watch?v=r03gVBZZISM	6	28	2012
Scotland	F	https://www.youtube.com/watch?v=T5CAXmNqXaM	14	28	2014
Scotland	F	https://www.youtube.com/watch?v=gnm6W4WELR4	14	30	2013
Scotland	F	https://www.youtube.com/watch?v=k3rbB4ceUtM	13	26	2016
